"sep=,"
"Krok","WygenerowanaLiczba"
1,1
2,11
3,211
4,2111
5,21121
6,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
7,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
8,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
9,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
10,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
11,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
12,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
13,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
14,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
15,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
16,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
17,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
18,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
19,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
20,"Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
"",""
"Status zakonczenia:","Algorytm utknal - brak mozliwosci dalszego rozszerzenia slowa"
"Czas wykonania (s):",0.0068127
